variant,doc,gold,out,tp,P,R,F1,calls,repairs,prompt_tokens,completion_tokens,unresolved,unparsed,salvaged,merge_error,conforms,seconds
G,vignette_099,364,396,326,0.8232,0.8956,0.8579,19,1,67627,12958,0,0,0,False,False,187
G,vignette_110,417,486,335,0.6893,0.8034,0.742,24,9,122847,41321,0,0,0,False,False,539
G,vignette_116,428,474,353,0.7447,0.8248,0.7827,23,8,109322,33893,0,0,0,False,False,505
G,vignette_130,207,208,184,0.8846,0.8889,0.8867,14,4,47072,10487,0,0,0,False,False,204
G,vignette_134,485,510,416,0.8157,0.8577,0.8362,34,12,150385,47990,0,0,0,False,False,857
G,vignette_141,496,525,421,0.8019,0.8488,0.8247,36,15,161413,59124,0,0,0,False,False,845
G,vignette_143,627,3336,517,0.155,0.8246,0.2609,35,11,151385,79853,0,0,0,True,False,918
G,vignette_147,43,48,26,0.5417,0.6047,0.5714,18,5,38516,3881,0,0,0,False,False,84
G,vignette_157,483,491,389,0.7923,0.8054,0.7988,31,10,145490,36183,0,0,0,False,False,580
G,vignette_158,472,566,410,0.7244,0.8686,0.79,33,11,163976,34416,0,0,0,False,False,582
G,vignette_163,496,3018,390,0.1292,0.7863,0.222,29,12,128551,60459,0,0,0,True,False,878
G,vignette_170,207,225,184,0.8178,0.8889,0.8519,20,5,62386,9628,0,0,0,False,False,180
G,vignette_179,463,482,399,0.8278,0.8618,0.8444,29,11,130273,33530,0,0,0,False,False,513
G,vignette_190,393,459,385,0.8388,0.9796,0.9038,19,4,88321,23724,0,0,0,False,False,418
G,vignette_193,404,532,291,0.547,0.7203,0.6218,26,10,148146,42367,0,0,0,False,False,504
G,vignette_196,207,231,205,0.8874,0.9903,0.9361,17,2,50912,7169,0,0,0,False,True,113
